stasiun,pm10,so2,co,o3,no2,max,critical,categori
2.0,48.0,17.0,17.0,67.0,5.0,67.0,1.0,2.0
2.0,40.0,17.0,22.0,73.0,6.0,73.0,1.0,2.0
2.0,39.0,19.0,19.0,65.0,6.0,65.0,1.0,2.0
2.0,37.0,18.0,17.0,55.0,5.0,55.0,1.0,2.0
2.0,51.0,17.0,19.0,92.0,5.0,92.0,1.0,2.0
2.0,36.0,18.0,15.0,66.0,4.0,66.0,1.0,2.0
2.0,56.0,19.0,20.0,85.0,8.0,85.0,1.0,2.0
2.0,62.0,18.0,20.0,89.0,9.0,89.0,1.0,2.0
2.0,50.0,19.0,17.0,53.0,7.0,53.0,1.0,2.0
2.0,58.0,19.0,26.0,75.0,8.0,75.0,1.0,2.0
2.0,51.0,17.0,17.0,60.0,5.0,60.0,1.0,2.0
2.0,39.0,18.0,22.0,40.0,6.0,40.0,1.0,1.0
2.0,46.0,19.0,29.0,55.0,5.0,55.0,1.0,2.0
2.0,62.0,18.0,23.0,71.0,5.0,71.0,1.0,2.0
2.0,38.0,18.0,18.0,53.0,3.0,53.0,1.0,2.0
2.0,38.0,19.0,22.0,79.0,5.0,79.0,1.0,2.0
2.0,45.0,18.0,19.0,70.0,7.0,70.0,1.0,2.0
3.0,42.0,25.0,11.0,90.0,8.0,90.0,1.0,2.0
3.0,51.0,25.0,10.0,36.0,6.0,51.0,2.0,2.0
3.0,55.0,27.0,14.0,48.0,6.0,55.0,2.0,2.0
3.0,66.0,28.0,22.0,63.0,7.0,66.0,2.0,2.0
3.0,66.0,28.0,14.0,83.0,8.0,83.0,1.0,2.0
3.0,56.0,26.0,18.0,60.0,8.0,60.0,1.0,2.0
3.0,42.0,25.0,17.0,28.0,9.0,42.0,2.0,1.0
3.0,33.0,26.0,10.0,58.0,7.0,58.0,1.0,2.0
3.0,59.0,28.0,13.0,57.0,8.0,59.0,2.0,2.0
3.0,65.0,27.0,19.0,107.0,8.0,107.0,1.0,0.0
3.0,82.0,27.0,24.0,89.0,10.0,89.0,1.0,2.0
3.0,52.0,26.0,13.0,64.0,7.0,64.0,1.0,2.0
3.0,54.0,28.0,13.0,61.0,9.0,61.0,1.0,2.0
3.0,57.0,27.0,15.0,72.0,9.0,72.0,1.0,2.0
3.0,60.0,27.0,16.0,66.0,8.0,66.0,1.0,2.0
3.0,60.0,27.0,19.0,75.0,8.0,75.0,1.0,2.0
3.0,52.0,28.0,12.0,82.0,6.0,82.0,1.0,2.0
3.0,73.0,29.0,17.0,86.0,10.0,86.0,1.0,2.0
3.0,78.0,28.0,13.0,73.0,6.0,78.0,2.0,2.0
3.0,69.0,28.0,14.0,57.0,7.0,69.0,2.0,2.0
3.0,66.0,27.0,13.0,51.0,7.0,66.0,2.0,2.0
3.0,71.0,27.0,13.0,42.0,8.0,71.0,2.0,2.0
3.0,64.0,26.0,25.0,53.0,9.0,64.0,2.0,2.0
3.0,75.0,26.0,13.0,55.0,5.0,75.0,2.0,2.0
3.0,51.0,25.0,13.0,76.0,4.0,76.0,1.0,2.0
3.0,59.0,20.0,14.0,60.0,9.0,60.0,1.0,2.0
3.0,67.0,22.0,13.0,52.0,7.0,67.0,2.0,2.0
3.0,80.0,22.0,26.0,44.0,9.0,80.0,2.0,2.0
4.0,34.0,7.0,7.0,49.0,6.0,49.0,1.0,1.0
4.0,34.0,8.0,6.0,46.0,3.0,46.0,1.0,1.0
4.0,52.0,15.0,9.0,62.0,4.0,62.0,1.0,2.0
4.0,49.0,19.0,8.0,103.0,6.0,103.0,1.0,0.0
4.0,50.0,19.0,10.0,73.0,5.0,73.0,1.0,2.0
4.0,25.0,19.0,11.0,56.0,7.0,56.0,1.0,2.0
4.0,20.0,19.0,5.0,69.0,3.0,69.0,1.0,2.0
4.0,51.0,19.0,12.0,73.0,6.0,73.0,1.0,2.0
4.0,36.0,19.0,7.0,86.0,5.0,86.0,1.0,2.0
4.0,40.0,19.0,11.0,109.0,8.0,109.0,1.0,0.0
4.0,42.0,19.0,8.0,109.0,5.0,109.0,1.0,0.0
4.0,42.0,19.0,10.0,87.0,6.0,87.0,1.0,2.0
4.0,45.0,8.0,18.0,73.0,6.0,73.0,1.0,2.0
4.0,53.0,11.0,12.0,100.0,10.0,100.0,1.0,2.0
4.0,53.0,7.0,13.0,59.0,8.0,59.0,1.0,2.0
4.0,68.0,19.0,18.0,67.0,10.0,68.0,2.0,2.0
4.0,43.0,5.0,11.0,88.0,9.0,88.0,1.0,2.0
4.0,34.0,7.0,5.0,70.0,7.0,70.0,1.0,2.0
4.0,49.0,7.0,15.0,77.0,8.0,77.0,1.0,2.0
4.0,61.0,8.0,16.0,101.0,10.0,101.0,1.0,0.0
4.0,46.0,6.0,14.0,82.0,9.0,82.0,1.0,2.0
4.0,51.0,8.0,16.0,85.0,10.0,85.0,1.0,2.0
4.0,69.0,7.0,36.0,76.0,17.0,76.0,1.0,2.0
0.0,22.0,17.0,4.0,19.0,8.0,26.0,3.0,1.0
0.0,25.0,18.0,4.0,28.0,7.0,48.0,3.0,1.0
0.0,29.0,19.0,8.0,48.0,14.0,48.0,1.0,1.0
0.0,39.0,29.0,8.0,52.0,17.0,58.0,3.0,2.0
0.0,28.0,22.0,7.0,34.0,11.0,34.0,1.0,1.0
0.0,31.0,22.0,7.0,30.0,9.0,50.0,3.0,1.0
0.0,25.0,22.0,6.0,18.0,9.0,31.0,3.0,1.0
0.0,36.0,31.0,8.0,23.0,8.0,52.0,3.0,2.0
0.0,32.0,22.0,5.0,25.0,8.0,46.0,3.0,1.0
0.0,32.0,30.0,4.0,25.0,7.0,48.0,3.0,1.0
0.0,32.0,24.0,9.0,21.0,12.0,49.0,3.0,1.0
0.0,23.0,19.0,6.0,29.0,10.0,33.0,3.0,1.0
0.0,29.0,20.0,5.0,29.0,6.0,41.0,3.0,1.0
0.0,25.0,18.0,4.0,29.0,9.0,32.0,3.0,1.0
0.0,26.0,18.0,6.0,24.0,8.0,34.0,3.0,1.0
0.0,21.0,17.0,5.0,19.0,7.0,35.0,3.0,1.0
0.0,24.0,21.0,5.0,30.0,7.0,37.0,3.0,1.0
0.0,25.0,19.0,5.0,25.0,8.0,34.0,3.0,1.0
0.0,27.0,19.0,6.0,24.0,9.0,49.0,3.0,1.0
0.0,37.0,20.0,9.0,19.0,8.0,49.0,3.0,1.0
0.0,17.0,17.0,4.0,14.0,5.0,20.0,3.0,1.0
0.0,23.0,19.0,6.0,16.0,10.0,39.0,3.0,1.0
0.0,43.0,26.0,13.0,26.0,13.0,62.0,3.0,2.0
0.0,40.0,26.0,8.0,31.0,8.0,62.0,3.0,2.0
0.0,23.0,23.0,4.0,25.0,5.0,38.0,3.0,1.0
0.0,23.0,26.0,3.0,30.0,6.0,35.0,3.0,1.0
0.0,24.0,26.0,5.0,35.0,5.0,44.0,3.0,1.0
0.0,26.0,27.0,4.0,33.0,8.0,44.0,3.0,1.0
0.0,21.0,23.0,5.0,28.0,6.0,28.0,1.0,1.0
0.0,19.0,22.0,4.0,25.0,7.0,30.0,3.0,1.0
0.0,26.0,25.0,8.0,29.0,10.0,39.0,3.0,1.0
1.0,22.0,20.0,5.0,45.0,4.0,45.0,1.0,1.0
1.0,32.0,21.0,6.0,48.0,13.0,53.0,3.0,2.0
1.0,32.0,20.0,9.0,68.0,18.0,68.0,1.0,2.0
1.0,31.0,22.0,8.0,34.0,12.0,41.0,3.0,1.0
1.0,35.0,23.0,8.0,34.0,7.0,52.0,3.0,2.0
1.0,23.0,22.0,6.0,38.0,8.0,38.0,1.0,1.0
1.0,35.0,24.0,11.0,39.0,8.0,44.0,3.0,1.0
1.0,34.0,22.0,5.0,42.0,5.0,44.0,3.0,1.0
1.0,33.0,26.0,4.0,32.0,15.0,33.0,2.0,1.0
1.0,30.0,26.0,8.0,43.0,13.0,43.0,1.0,1.0
1.0,23.0,21.0,7.0,46.0,13.0,46.0,1.0,1.0
1.0,29.0,23.0,7.0,40.0,12.0,46.0,3.0,1.0
1.0,27.0,22.0,7.0,54.0,9.0,54.0,1.0,2.0
1.0,28.0,21.0,7.0,47.0,6.0,50.0,3.0,1.0
1.0,25.0,21.0,7.0,43.0,6.0,43.0,1.0,1.0
1.0,25.0,22.0,6.0,45.0,14.0,46.0,3.0,1.0
1.0,26.0,22.0,5.0,46.0,5.0,46.0,1.0,1.0
1.0,28.0,22.0,6.0,39.0,6.0,48.0,3.0,1.0
1.0,38.0,23.0,8.0,39.0,6.0,55.0,3.0,2.0
1.0,14.0,21.0,5.0,33.0,4.0,33.0,1.0,1.0
1.0,23.0,22.0,7.0,45.0,13.0,46.0,3.0,1.0
1.0,42.0,22.0,11.0,53.0,13.0,59.0,3.0,2.0
1.0,49.0,28.0,9.0,62.0,11.0,63.0,3.0,2.0
1.0,24.0,21.0,6.0,31.0,4.0,38.0,3.0,1.0
1.0,20.0,22.0,5.0,46.0,3.0,46.0,1.0,1.0
1.0,22.0,23.0,5.0,33.0,8.0,39.0,3.0,1.0
1.0,27.0,23.0,4.0,42.0,17.0,44.0,3.0,1.0
1.0,25.0,19.0,6.0,54.0,4.0,54.0,1.0,2.0
1.0,33.0,16.0,11.0,64.0,9.0,64.0,1.0,2.0
2.0,45.0,19.0,13.0,53.0,5.0,75.0,3.0,2.0
2.0,32.0,19.0,13.0,12.0,5.0,56.0,3.0,2.0
2.0,28.0,19.0,16.0,31.0,6.0,45.0,3.0,1.0
2.0,32.0,19.0,10.0,36.0,2.0,36.0,1.0,1.0
2.0,39.0,19.0,12.0,33.0,3.0,53.0,3.0,2.0
2.0,36.0,19.0,13.0,36.0,3.0,36.0,2.0,1.0
2.0,25.0,19.0,12.0,27.0,5.0,27.0,1.0,1.0
2.0,40.0,24.0,10.0,20.0,3.0,61.0,3.0,2.0
2.0,68.0,15.0,25.0,29.0,5.0,106.0,3.0,0.0
2.0,52.0,16.0,9.0,42.0,6.0,69.0,3.0,2.0
2.0,39.0,14.0,7.0,28.0,3.0,53.0,3.0,2.0
2.0,37.0,13.0,5.0,27.0,2.0,52.0,3.0,2.0
2.0,44.0,15.0,8.0,48.0,4.0,59.0,3.0,2.0
2.0,45.0,14.0,12.0,53.0,4.0,57.0,3.0,2.0
2.0,25.0,13.0,4.0,21.0,2.0,25.0,2.0,1.0
2.0,39.0,13.0,6.0,18.0,3.0,39.0,2.0,1.0
3.0,29.0,40.0,13.0,20.0,4.0,40.0,3.0,1.0
3.0,38.0,40.0,10.0,41.0,6.0,41.0,0.0,1.0
3.0,31.0,41.0,10.0,47.0,6.0,47.0,0.0,1.0
3.0,31.0,41.0,9.0,25.0,4.0,41.0,3.0,1.0
3.0,27.0,41.0,6.0,28.0,2.0,41.0,3.0,1.0
3.0,36.0,41.0,11.0,22.0,6.0,41.0,3.0,1.0
3.0,25.0,41.0,8.0,20.0,4.0,41.0,3.0,1.0
3.0,16.0,41.0,6.0,15.0,3.0,41.0,3.0,1.0
3.0,27.0,40.0,10.0,29.0,3.0,40.0,3.0,1.0
3.0,56.0,34.0,18.0,43.0,7.0,56.0,2.0,2.0
3.0,51.0,36.0,11.0,38.0,7.0,51.0,2.0,2.0
3.0,25.0,34.0,10.0,34.0,4.0,34.0,3.0,1.0
3.0,25.0,34.0,7.0,33.0,3.0,34.0,3.0,1.0
3.0,30.0,35.0,10.0,44.0,4.0,44.0,0.0,1.0
3.0,29.0,34.0,9.0,31.0,3.0,34.0,3.0,1.0
3.0,21.0,34.0,5.0,20.0,2.0,34.0,3.0,1.0
3.0,26.0,34.0,6.0,15.0,3.0,34.0,3.0,1.0
3.0,28.0,36.0,10.0,27.0,3.0,36.0,3.0,1.0
4.0,13.0,23.0,4.0,28.0,8.0,28.0,0.0,1.0
4.0,23.0,26.0,5.0,46.0,3.0,46.0,0.0,1.0
4.0,25.0,28.0,7.0,67.0,4.0,67.0,0.0,2.0
